step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
935,0.79744,0.73333,,
936,0.93877,0.67778,,
937,0.74686,0.75556,,
938,0.66695,0.77778,,
939,0.76589,0.76667,,
940,0.82735,0.7,,
941,0.88537,0.68889,,
942,0.86105,0.67778,,
943,0.73568,0.72222,,
944,0.77662,0.77778,,
945,0.92995,0.65556,,
946,0.67769,0.74444,,
947,0.7837,0.75556,,
948,0.94782,0.64444,,
949,0.66954,0.75556,,
950,0.87097,0.68889,,
951,0.66496,0.8,,
952,0.84512,0.71111,,
953,0.93214,0.65556,,
954,0.69976,0.73333,,
955,0.89646,0.7,,
956,0.8805,0.68889,,
957,0.75145,0.72222,,
958,0.75632,0.71111,,
959,0.73005,0.7,,
960,0.83272,0.65556,,
961,0.81631,0.7,,
962,0.71564,0.72222,,
963,0.94008,0.68889,,
964,0.93974,0.67778,,
965,0.83882,0.68889,,
966,0.82284,0.71111,,
967,0.7047,0.73333,,
968,0.93939,0.66667,,
969,0.75052,0.75556,,
970,0.83802,0.72222,,
971,0.97499,0.68889,,
972,0.85107,0.64444,,
973,0.79138,0.7,,
974,0.80617,0.74444,,
975,0.80861,0.68889,,
976,0.84011,0.67778,,
977,0.87023,0.66667,,
978,0.8411,0.68889,,
979,0.8507,0.71111,,
980,0.7891,0.76667,,
981,0.80081,0.72222,,
982,0.65263,0.75556,,
983,0.9413,0.73333,,
984,0.89109,0.64444,,
985,0.8191,0.7,,
986,0.80445,0.66667,,
987,0.79443,0.75556,,
988,0.90495,0.66667,,
989,0.73923,0.73333,,
990,0.7855,0.71111,,
991,1.01023,0.63333,,
992,0.64114,0.76667,,
993,0.91143,0.71111,,
994,0.79729,0.7,,
